prefix	obo	name	repository	message
ado	ADO	Alzheimer's Disease Ontology	https://github.com/Fraunhofer-SCAI-Applied-Semantics/ADO	no roots annotated with IAO_0000700
afpo	AfPO	African Population Ontology	https://github.com/h3abionet/afpo	no roots annotated with IAO_0000700
amphx	AMPHX	The Amphioxus Development and Anatomy Ontology	https://github.com/EBISPOT/amphx_ontology	no roots annotated with IAO_0000700
apo	APO	Ascomycete phenotype ontology	https://github.com/obophenotype/ascomycete-phenotype-ontology	no roots annotated with IAO_0000700
apollosv	APOLLO_SV	Apollo Structured Vocabulary	https://github.com/ApolloDev/apollo-sv	no roots annotated with IAO_0000700
aro	ARO	Antibiotic Resistance Ontology	https://github.com/arpcard/aro	no roots annotated with IAO_0000700
bco	BCO	Biological Collections Ontology	https://github.com/BiodiversityOntologies/bco	no roots annotated with IAO_0000700
bfo	BFO	Basic Formal Ontology	https://github.com/BFO-ontology/BFO	no roots annotated with IAO_0000700
biomodels.kisao	KISAO	Kinetic Simulation Algorithm Ontology	https://github.com/SED-ML/KiSAO	no roots annotated with IAO_0000700
bmont	BMONT	Biomarker Ontology	https://github.com/SCAI-BIO/BiomarkerOntology	no roots annotated with IAO_0000700
bto	BTO	BRENDA Tissue Ontology	https://github.com/BRENDA-Enzymes/BTO	no roots annotated with IAO_0000700
cdao	CDAO	Comparative Data Analysis Ontology	https://github.com/evoinfo/cdao	no roots annotated with IAO_0000700
cdno	CDNO	Compositional Dietary Nutrition Ontology	https://github.com/CompositionalDietaryNutritionOntology/cdno	no roots annotated with IAO_0000700
cheminf	CHEMINF	Chemical Information Ontology	https://github.com/semanticchemistry/semanticchemistry	no roots annotated with IAO_0000700
chiro	CHIRO	ChEBI Integrated Role Ontology	https://github.com/obophenotype/chiro	no roots annotated with IAO_0000700
chmo	CHMO	Chemical Methods Ontology	https://github.com/rsc-ontologies/rsc-cmo	no roots annotated with IAO_0000700
cido	CIDO	Coronavirus Infectious Disease Ontology	https://github.com/cido-ontology/cido	no roots annotated with IAO_0000700
cio	CIO	Confidence Information Ontology	https://github.com/BgeeDB/confidence-information-ontology	no roots annotated with IAO_0000700
clao	CLAO	Collembola Anatomy Ontology	https://github.com/luis-gonzalez-m/Collembola	no roots annotated with IAO_0000700
clo	CLO	Cell Line Ontology	https://github.com/CLO-Ontology/CLO	no roots annotated with IAO_0000700
clyh	CLYH	Clytia hemisphaerica Development and Anatomy Ontology	https://github.com/EBISPOT/clyh_ontology	no roots annotated with IAO_0000700
cmo	CMO	Clinical measurement ontology	https://github.com/rat-genome-database/CMO-Clinical-Measurement-Ontology	no roots annotated with IAO_0000700
